epoch,auc,binary_accuracy,f1_score,loss,val_auc,val_binary_accuracy,val_f1_score,val_loss
0,0.37812501192092896,0.5277777910232544,0.1052631363272667,33.847206115722656,0.5277777910232544,0.7777777910232544,0.4999999701976776,31.947608947753906
1,0.48593753576278687,0.5277777910232544,0.514285683631897,30.981143951416016,0.3333333432674408,0.5555555820465088,0.4999999403953552,29.31719207763672
2,0.518750011920929,0.6111111044883728,0.4999999403953552,28.328893661499023,0.4166666865348816,0.5555555820465088,0.4999999403953552,26.7301025390625
3,0.6109374761581421,0.5833333134651184,0.2857142388820648,25.796140670776367,0.4166666865348816,0.4444444477558136,0.4444444179534912,24.363569259643555
4,0.49687501788139343,0.5,0.47058820724487305,23.487991333007812,0.4722222089767456,0.4444444477558136,0.5454545021057129,22.218183517456055
5,0.690625011920929,0.6666666865348816,0.4999999403953552,21.268075942993164,0.5,0.4444444477558136,0.5454545021057129,20.139448165893555
6,0.731249988079071,0.6111111044883728,0.6111111044883728,19.24292755126953,0.4444444477558136,0.4444444477558136,0.5454545021057129,18.241741180419922
7,0.6656249761581421,0.6111111044883728,0.6111111044883728,17.438987731933594,0.6111111044883728,0.4444444477558136,0.4444444179534912,16.401395797729492
8,0.8078125715255737,0.7777777910232544,0.7333332300186157,15.69610595703125,0.472222238779068,0.4444444477558136,0.5454545021057129,14.873920440673828
9,0.7828124761581421,0.6666666865348816,0.6249999403953552,14.151185035705566,0.4722222089767456,0.3333333432674408,0.3999999761581421,13.464134216308594
10,0.5953124761581421,0.5555555820465088,0.333333283662796,12.935840606689453,0.4444444477558136,0.5555555820465088,0.4999999403953552,12.060663223266602
11,0.792187511920929,0.6666666865348816,0.6249999403953552,11.473087310791016,0.4444444477558136,0.4444444477558136,0.5454545021057129,11.063416481018066
12,0.8500000238418579,0.6666666865348816,0.6999999284744263,10.348435401916504,0.3888888955116272,0.3333333432674408,0.3999999761581421,9.920977592468262
